Image_id,File Name,timestamp,latitude,longitude,altitude,pitch,roll,yaw,flight_date,flight_segment,stage,removal_reason,time_diff
SAMPLE0001,SAMPLE0001.IIQ,2022-06-01 15:11:27,48.31908727,16.06766711,236.415,-45.417,0.1452,65.4714,2022-06-01,0,kept,,0.0
SAMPLE0002,SAMPLE0002.IIQ,2022-06-01 15:11:32,48.31937536,16.0673837,239.214,-45.593,0.0493,74.5462,2022-06-01,0,kept,,0.08333333333333333
SAMPLE0003,SAMPLE0003.IIQ,2022-06-01 15:11:37,48.319266,16.06747529,235.758,-44.7569,-0.0676,69.7153,2022-06-01,0,kept,,0.08333333333333333
SAMPLE0004,SAMPLE0004.IIQ,2022-06-01 15:11:42,48.31919933,16.06751982,242.32,-45.4649,-0.1746,72.6286,2022-06-01,0,kept,,0.08333333333333333
SAMPLE0005,SAMPLE0005.IIQ,2022-06-01 15:11:47,48.31897801,16.06757364,237.441,-45.5786,-0.0756,78.6135,2022-06-01,0,kept,,0.08333333333333333
SAMPLE0006,SAMPLE0006.IIQ,2022-06-01 15:11:52,48.318978,16.06777111,240.469,-45.186,-0.0699,68.7394,2022-06-01,0,kept,,0.08333333333333333
SAMPLE0007,SAMPLE0007.IIQ,2022-06-14 14:14:35,48.31892904,16.0674198,237.838,-45.7886,0.0918,71.1557,2022-06-14,2,kept,,0.0
SAMPLE0008,SAMPLE0008.IIQ,2022-06-14 14:14:41,48.31933309,16.06760854,239.401,-44.7967,0.055,76.3333,2022-06-14,2,kept,,0.1
SAMPLE0009,SAMPLE0009.IIQ,2022-06-14 14:14:47,48.31920056,16.06765545,239.6,-45.8882,0.1549,68.432,2022-06-14,2,kept,,0.1
SAMPLE0010,SAMPLE0010.IIQ,2022-06-14 14:14:53,48.31925404,16.06732787,236.886,-44.5197,-0.0111,66.1547,2022-06-14,2,kept,,0.1
SAMPLE0011,SAMPLE0011.IIQ,2022-06-14 14:14:59,48.31891029,16.06766453,242.772,-44.8416,-0.1522,69.3463,2022-06-14,2,kept,,0.1
SAMPLE0012,SAMPLE0012.IIQ,2022-06-14 14:15:05,48.31938495,16.06740231,241.313,-45.7019,0.0853,67.4183,2022-06-14,2,kept,,0.1
SAMPLE0013,SAMPLE0013.IIQ,2022-06-14 14:15:11,48.31931622,16.06733903,242.546,-45.9917,0.1043,78.9455,2022-06-14,2,kept,,0.1
SAMPLE0014,SAMPLE0014.IIQ,2022-06-22 08:30:00,48.31900617,16.06786933,242.211,-44.7768,0.0245,76.0812,2022-06-22,0,kept,,0.0
SAMPLE0015,SAMPLE0015.IIQ,2022-06-22 08:30:04,48.31899091,16.06787938,239.984,-44.9397,0.1084,74.334,2022-06-22,0,kept,,0.06666666666666667
SAMPLE0016,SAMPLE0016.IIQ,2022-06-22 08:30:08,48.3189917,16.06778504,242.414,-44.9065,-0.0025,76.7146,2022-06-22,0,kept,,0.06666666666666667
SAMPLE0017,SAMPLE0017.IIQ,2022-06-22 08:30:12,48.31905212,16.06748277,236.164,-44.8431,0.0091,76.0367,2022-06-22,0,kept,,0.06666666666666667
SAMPLE0018,SAMPLE0018.IIQ,2022-06-22 08:30:16,48.31916238,16.0673586,236.97,-45.8889,-0.029,69.8657,2022-06-22,0,kept,,0.06666666666666667
SAMPLE0019,SAMPLE0019.IIQ,2022-06-22 08:30:20,48.31911597,16.06771054,235.839,-45.4623,-0.1898,76.9256,2022-06-22,0,removed,other_direction,0.06666666666666667
SAMPLE0020,SAMPLE0020.IIQ,2022-06-22 08:30:24,48.31904561,16.06756409,237.94,-45.8262,-0.1568,73.3934,2022-06-22,0,removed,grubbs_outlier,0.06666666666666667
